Country,Region,Happiness Rank,Ladder score,Economy,Social support,Health,Freedom,Trust,Generosity,Dystopia Residual,Year,Emoji,Latitude,Longitude,Population,Percent_Population_aged_0_14,Percent_Population_aged_10_19,Percent_Population_aged_10_24,Percent_Population_aged_15_64,Percent_Population_aged_65_and_older,LifeExpectancy_male,LifeExpectancy_female
Hong Kong,East Asia,86,5.316,1.909,1.184,0.857,0.485,0.402,0.147,0.333,2024,😑,22.350627,114.1849161,7.5,12.0,8.0,12.0,66.0,22.0,83.0,89.0
Albania,Central and Eastern Europe,87,5.304,1.438,0.924,0.638,0.69,0.049,0.138,1.428,2024,😑,11.2448034,-72.51609706675980,2.8,16.0,12.0,18.0,66.0,18.0,78.0,82.0
Tajikistan,Commonwealth of Independent States,88,5.281,1.0528089683724000,1.0536016878616700,0.5781719451213200,0.4665502520044420,0.1343054408313920,0.191616229732276,1.993702602386480,2024,😑,38.6281733,70.8156541,10.3,36.0,21.0,29.0,60.0,4.0,69.0,74.0
Congo (Brazzaville),Sub-Saharan Africa,89,5.221,0.892,0.622,0.306,0.523,0.138,0.124,2.617,2024,😑,-0.7264327,15.6419155,6.2,40.0,24.0,32.0,57.0,3.0,62.0,65.0
Congo (Brazzaville),Sub-Saharan Africa,89,5.221,0.892,0.622,0.306,0.523,0.138,0.124,2.617,2024,😑,-0.7264327,15.6419155,105.6,46.0,23.0,32.0,51.0,3.0,59.0,63.0
Mozambique,Sub-Saharan Africa,90,5.216,0.56,0.883,0.156,0.728,0.196,0.158,2.536,2024,😑,-19.302233,34.9144977,34.9,43.0,24.0,33.0,54.0,3.0,60.0,65.0
Georgia,Commonwealth of Independent States,91,5.185,1.467,0.99,0.524,0.68,0.174,0.0,1.349,2024,😑,32.3293809,-83.1137366,3.7,21.0,13.0,19.0,64.0,15.0,69.0,79.0
Iraq,Middle East and North Africa,92,5.166,1.249,0.996,0.498,0.425,0.048,0.141,1.809,2024,😑,33.0955793,44.1749775,46.5,37.0,22.0,32.0,60.0,3.0,70.0,74.0
Nepal,South Asia,93,5.158,0.965,0.99,0.443,0.653,0.115,0.209,1.783,2024,😑,28.3780464,83.9999901,31.2,28.0,19.0,29.0,66.0,6.0,69.0,73.0
Laos,Southeast Asia,94,5.139,1.208,0.846,0.423,0.796,0.167,0.17,1.529,2024,😑,20.0171109,103.378253,7.7,30.0,19.0,28.0,65.0,5.0,67.0,72.0
Gabon,Sub-Saharan Africa,95,5.106,1.403,1.038,0.344,0.516,0.1,0.045,1.66,2024,😑,-0.8999695,11.6899699,2.5,36.0,21.0,29.0,60.0,4.0,65.0,70.0
Guinea,Sub-Saharan Africa,97,5.023,0.831,0.622,0.236,0.521,0.107,0.21,2.497,2024,😑,10.7226226,-10.7083587,1.8,38.0,22.0,29.0,59.0,3.0,61.0,64.0
Guinea,Sub-Saharan Africa,97,5.023,0.831,0.622,0.236,0.521,0.107,0.21,2.497,2024,😑,10.7226226,-10.7083587,14.5,41.0,23.0,33.0,56.0,3.0,59.0,62.0
Guinea,Sub-Saharan Africa,97,5.023,0.831,0.622,0.236,0.521,0.107,0.21,2.497,2024,😑,10.7226226,-10.7083587,2.2,39.0,24.0,33.0,58.0,3.0,60.0,64.0
Guinea,Sub-Saharan Africa,97,5.023,0.831,0.622,0.236,0.521,0.107,0.21,2.497,2024,😑,10.7226226,-10.7083587,10.5,34.0,21.0,30.0,63.0,3.0,64.0,69.0
Senegal,Sub-Saharan Africa,99,4.969,0.927,0.751,0.392,0.607,0.069,0.152,2.071,2024,😑,14.4750607,-14.4529612,18.2,41.0,23.0,33.0,56.0,3.0,67.0,73.0
Iran,Middle East and North Africa,100,4.923,1.435,1.136,0.571,0.366,0.123,0.235,1.057,2024,😑,32.6475314,54.5643516,89.8,23.0,15.0,21.0,69.0,8.0,75.0,80.0
Azerbaijan,Commonwealth of Independent States,101,4.893,1.433,0.876,0.496,0.668,0.199,0.112,1.11,2024,😑,40.3936294,47.7872508,10.5,22.0,16.0,22.0,70.0,8.0,71.0,77.0
Nigeria,Sub-Saharan Africa,102,4.881,1.042,1.075,0.256,0.566,0.019,0.201,1.722,2024,😑,9.6000359,7.9999721,229.2,42.0,23.0,33.0,55.0,3.0,54.0,55.0
Palestine,Middle East and North Africa,103,4.879,1.0528089683724000,1.0536016878616700,0.5781719451213200,0.4665502520044420,0.1343054408313920,0.191616229732276,1.993702602386480,2024,😑,31.7621153,-95.6307891,5.5,38.0,22.0,32.0,58.0,4.0,74.0,78.0
Cameroon,Sub-Saharan Africa,104,4.874,0.943,0.856,0.288,0.521,0.06,0.126,2.08,2024,😑,4.6125522,13.1535811,29.4,42.0,23.0,32.0,56.0,3.0,61.0,64.0
Ukraine,Commonwealth of Independent States,105,4.873,1.35,1.315,0.513,0.631,0.025,0.285,0.753,2024,😑,49.4871968,31.2718321,37.9,15.0,12.0,15.0,65.0,20.0,70.0,80.0
Namibia,Sub-Saharan Africa,106,4.832,1.266,1.212,0.307,0.47,0.061,0.069,1.446,2024,😑,-23.2335499,17.3231107,2.6,36.0,21.0,30.0,60.0,4.0,60.0,68.0
Morocco,Middle East and North Africa,107,4.795,1.213,0.471,0.495,0.631,0.082,0.042,1.861,2024,😑,28.3347722,-10.371337908392600,38.2,26.0,17.0,25.0,66.0,8.0,73.0,78.0
Pakistan,South Asia,108,4.657,1.069,0.6,0.321,0.542,0.074,0.144,1.907,2024,😑,30.3308401,71.247499,245.2,36.0,22.0,32.0,60.0,4.0,65.0,70.0
Niger,Sub-Saharan Africa,109,4.556,0.573,0.677,0.293,0.615,0.147,0.145,2.107,2024,😑,17.7356214,9.3238432,28.2,49.0,24.0,33.0,49.0,2.0,63.0,65.0
Burkina Faso,Sub-Saharan Africa,110,4.548,0.756,0.685,0.274,0.483,0.179,0.173,1.999,2024,😑,12.0753083,-1.6880314,23.8,43.0,24.0,34.0,55.0,3.0,59.0,63.0
Mauritania,Sub-Saharan Africa,111,4.505,1.078,0.705,0.4,0.343,0.198,0.133,1.649,2024,😑,20.2540382,-9.2399263,5.0,41.0,24.0,33.0,56.0,3.0,65.0,69.0
Gambia,Sub-Saharan Africa,112,4.485,0.75,0.684,0.33,0.459,0.048,0.324,1.89,2024,😡,13.470062,-15.4900464,2.8,42.0,24.0,34.0,55.0,2.0,63.0,66.0
Chad,Sub-Saharan Africa,113,4.471,0.603,0.805,0.199,0.411,0.113,0.218,2.122,2024,😡,15.6134137,19.0156172,18.8,47.0,24.0,33.0,51.0,2.0,52.0,56.0
Kenya,Sub-Saharan Africa,114,4.47,1.037,0.895,0.353,0.519,0.069,0.282,1.316,2024,😡,1.4419683,38.4313975,56.2,37.0,23.0,33.0,60.0,3.0,62.0,67.0
Tunisia,Middle East and North Africa,115,4.422,1.306,0.955,0.579,0.254,0.018,0.024,1.285,2024,😡,36.8002068,10.1857757,12.6,24.0,15.0,22.0,66.0,10.0,74.0,80.0
Benin,Sub-Saharan Africa,116,4.377,0.914,0.128,0.284,0.567,0.252,0.112,2.121,2024,😡,9.5293472,2.2584408,14.1,42.0,23.0,31.0,55.0,3.0,60.0,63.0
Uganda,Sub-Saharan Africa,117,4.372,0.772,1.151,0.373,0.587,0.054,0.178,1.256,2024,😡,1.5333554,32.2166578,49.9,44.0,25.0,35.0,54.0,2.0,62.0,66.0
Myanmar,Southeast Asia,118,4.354,0.978,0.988,0.436,0.45,0.174,0.401,0.928,2024,😡,17.1750495,95.9999652,55.0,24.0,16.0,24.0,69.0,7.0,65.0,71.0
Cambodia,Southeast Asia,119,4.341,1.011,1.019,0.442,0.863,0.071,0.17,0.765,2024,😡,12.5433216,104.8144914,17.1,28.0,19.0,27.0,65.0,6.0,69.0,74.0
Ghana,Sub-Saharan Africa,120,4.289,1.077,0.747,0.36,0.623,0.028,0.183,1.273,2024,😡,8.0300284,-1.0800271,34.8,36.0,22.0,31.0,60.0,4.0,63.0,68.0
Liberia,Sub-Saharan Africa,121,4.269,0.619,0.673,0.301,0.546,0.075,0.178,1.878,2024,😡,5.7499721,-9.3658524,5.5,40.0,24.0,34.0,57.0,3.0,61.0,64.0
Mali,Sub-Saharan Africa,122,4.232,0.747,0.688,0.267,0.586,0.09,0.12,1.734,2024,😡,16.3700359,-2.2900239,24.0,47.0,25.0,34.0,51.0,2.0,60.0,62.0
